id,card_concept_id,set_id,language_id,printed_name,card_number,printed_total,rarity,release_date,is_promo,is_jumbo,is_deck_exclusive,external_reference,notes
00000000-0000-4000-8000-000000008001,00000000-0000-4000-8000-000000004001,00000000-0000-4000-8000-000000002001,00000000-0000-4000-8000-000000000002,ピカチュウ,001,060,Common,2016-12-09,false,false,false,FAKE-JP-SUN-001,Original Japanese fake print
00000000-0000-4000-8000-000000008002,00000000-0000-4000-8000-000000004001,00000000-0000-4000-8000-000000002003,00000000-0000-4000-8000-000000000001,Pikachu,040,149,Common,2017-02-03,false,false,false,FAKE-EN-SM1-040,English print in merged set
00000000-0000-4000-8000-000000008003,00000000-0000-4000-8000-000000004001,00000000-0000-4000-8000-000000002004,00000000-0000-4000-8000-000000000003,Pikachu,040,149,Common,2017-02-03,false,false,false,FAKE-FR-SL1-040,French print
00000000-0000-4000-8000-000000008004,00000000-0000-4000-8000-000000004001,00000000-0000-4000-8000-000000002005,00000000-0000-4000-8000-000000000008,피카츄,040,149,Common,2017-05-01,false,false,false,FAKE-KO-SM1-040,Korean print
00000000-0000-4000-8000-000000008005,00000000-0000-4000-8000-000000004001,00000000-0000-4000-8000-000000002006,00000000-0000-4000-8000-000000000010,皮卡丘,010,120,Common,2022-10-28,false,false,false,FAKE-CN-CSM1-010,Simplified Chinese reprint
00000000-0000-4000-8000-000000008006,00000000-0000-4000-8000-000000004001,00000000-0000-4000-8000-000000002007,00000000-0000-4000-8000-000000000011,พิคาชู,010,120,Common,2019-08-01,false,false,false,FAKE-TH-THSM1-010,Thai reprint
00000000-0000-4000-8000-000000008007,00000000-0000-4000-8000-000000004001,00000000-0000-4000-8000-000000002008,00000000-0000-4000-8000-000000000012,Pikachu,010,120,Common,2019-08-01,false,false,false,FAKE-ID-IDSM1-010,Indonesian reprint
00000000-0000-4000-8000-000000008008,00000000-0000-4000-8000-000000004002,00000000-0000-4000-8000-000000002002,00000000-0000-4000-8000-000000000002,ルナアーラGX,015,060,Rare Holo GX,2016-12-09,false,false,false,FAKE-JP-MOON-015,Japanese GX print
00000000-0000-4000-8000-000000008009,00000000-0000-4000-8000-000000004002,00000000-0000-4000-8000-000000002003,00000000-0000-4000-8000-000000000001,Lunala GX,066,149,Rare Holo GX,2017-02-03,false,false,false,FAKE-EN-SM1-066,English GX print
00000000-0000-4000-8000-000000008010,00000000-0000-4000-8000-000000004003,00000000-0000-4000-8000-000000002003,00000000-0000-4000-8000-000000000001,Professor Kukui,128,149,Uncommon,2017-02-03,false,false,false,FAKE-EN-SM1-128,Trainer print
